Marca temporal;PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
10/3/2020 14:33:44;Mecánica, Mención Eficiencia Energética;3;4;3;5;4;3;5;3;5;3;3;5;4;4;5;4;5;5;3;4;4;4;3;5;4;5;4;5;3;4;4;5;4;5;4;3;5;4;5;4;4;4;5;4;5;5;5;5;4;4;4;5;5;5
10/3/2020 14:33:52;Estadística, Mención Estadística Aplicada;7;5;9;3;8;3;8;7;5;3;2;9;5;9;1;8;6;8;7;6;6;5;5;3;3;2;8;6;9;7;5;9;6;4;5;8;5;4;7;3;6;8;6;6;4;3;6;8;4;6;2;5;6;5
10/3/2020 14:49:52;Desarrollo Local;7;8;8;8;8;7;8;9;7;7;8;8;8;8;8;8;8;8;8;8;7;8;1;5;6;7;6;5;8;5;4;8;8;7;8;8;1;8;7;8;8;8;7;8;8;8;7;8;7;8;8;8;8;8
10/3/2020 16:32:22;Zootecnia, Mención Producción Ganadera Sostenible;8;6;5;8;5;8;9;9;8;6;8;8;9;9;6;5;2;5;5;7;8;4;1;9;9;9;7;8;5;8;6;4;8;1;7;9;2;4;8;9;5;8;4;9;7;8;5;8;9;7;9;9;9;8
10/6/2020 12:47:10;Agroindustria;7;7;8;9;7;7;8;8;8;8;6;7;7;7;9;8;8;8;8;9;7;9;9;4;6;4;7;7;6;8;8;7;7;6;8;7;6;7;7;8;7;7;7;7;7;8;8;6;6;7;8;7;9;8
10/6/2020 12:47:25;Agroindustria;5;9;9;9;9;9;9;9;9;9;6;8;8;6;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;7;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8
10/6/2020 12:51:15;Agroindustria;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;9;9;9;9
10/6/2020 12:53:08;Hidráulica, Mención Gestión de Recursos Hídricos;9;9;9;9;9;9;8;9;7;9;8;7;8;8;8;9;9;9;9;9;9;8;8;9;8;8;8;8;9;9;8;9;9;7;7;9;9;8;8;8;9;9;7;8;8;8;8;8;8;8;8;8;8;8
10/6/2020 12:54:39;Educación, Mención Enseñanza Básica;9;9;9;9;9;9;7;8;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;8;9;9;9;9;9;9;9;9;7;9;8;9;9;9;9;9;9;8;9;8
10/6/2020 12:56:07;Optometría, Mención Contactología y Terapia Visual;7;8;8;9;9;9;8;9;8;9;8;8;8;8;8;8;8;8;8;9;7;6;7;7;9;8;7;8;8;4;6;8;8;8;7;7;7;7;7;8;7;7;7;8;8;8;8;8;8;7;8;9;8;8
