PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
MecAnica, Mencion Eficiencia Energetica;3;4;3;5;4;3;5;3;5;3;3;5;4;4;5;4;5;5;3;4;4;4;3;5;4;5;4;5;3;4;4;5;4;5;4;3;5;4;5;4;4;4;5;4;5;5;5;5;4;4;4;5;5;5
Estadistica, Mencion Estadistica Aplicada;7;5;9;3;8;3;8;7;5;3;2;9;5;9;1;8;6;8;7;6;6;5;5;3;3;2;8;6;9;7;5;9;6;4;5;8;5;4;7;3;6;8;6;6;4;3;6;8;4;6;2;5;6;5
Desarrollo Local;7;8;8;8;8;7;8;9;7;7;8;8;8;8;8;8;8;8;8;8;7;8;1;5;6;7;6;5;8;5;4;8;8;7;8;8;1;8;7;8;8;8;7;8;8;8;7;8;7;8;8;8;8;8
Zootecnia, Mencion Produccion Ganadera Sostenible;8;6;5;8;5;8;9;9;8;6;8;8;9;9;6;5;2;5;5;7;8;4;1;9;9;9;7;8;5;8;6;4;8;1;7;9;2;4;8;9;5;8;4;9;7;8;5;8;9;7;9;9;9;8
Agroindustria;7;7;8;9;7;7;8;8;8;8;6;7;7;7;9;8;8;8;8;9;7;9;9;4;6;4;7;7;6;8;8;7;7;6;8;7;6;7;7;8;7;7;7;7;7;8;8;6;6;7;8;7;9;8
Agroindustria;5;9;9;9;9;9;9;9;9;9;6;8;8;6;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;7;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8
Agroindustria;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;9;9;9;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;8;9;7;9;8;7;8;8;8;9;9;9;9;9;9;8;8;9;8;8;8;8;9;9;8;9;9;7;7;9;9;8;8;8;9;9;7;8;8;8;8;8;8;8;8;8;8;8
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;7;8;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;8;9;9;9;9;9;9;9;9;7;9;8;9;9;9;9;9;9;8;9;8
Optometria, Mencion Contactologia y Terapia Visual;7;8;8;9;9;9;8;9;8;9;8;8;8;8;8;8;8;8;8;9;7;6;7;7;9;8;7;8;8;4;6;8;8;8;7;7;7;7;7;8;7;7;7;8;8;8;8;8;8;7;8;9;8;8
